ProductID,CubeName,ProductName,CompanyName,ShortDescription,TargetClientSize,PrimaryIndustries,KeyStats,PackageTiers,LearnMoreURL,DemoURL1,DemoLabel1,DemoURL2,DemoLabel2,DemoURL3,DemoLabel3
vantify-risk,Vantify Risk Manager,Vantify Risk Manager,Vantify,Market-leading compliance and risk management system providing real-time visibility and proactive management across multi-site operations,SME;Enterprise,Real estate activities;Manufacturing;Construction;Human health and social work activities,"50,000+ properties managed; 25,000+ risk assessments annually; ISO 27001 accredited; Established system with proven track record",Compliance Package (pre-configured); Enterprise Package (fully bespoke with comprehensive modules),https://vantify.com/the-vantify-ecosystem/vantify-risk-manager/,,,,,,
vantify-cafm,Vantify CAFM,Vantify CAFM,Vantify,Computer-aided facilities management system designed to simplify and automate processes for multi-site property management with comprehensive asset and compliance tracking,Enterprise,"Real estate activities;Wholesale and retail trade, repair of motor vehicles and motorcycles;Human health and social work activities;Accommodation and food service activities",Major UK property portfolios managed; 24/7 UK helpdesk support included; Web and mobile access included,"Basic CAFM (reactive jobs, assets, PPM, tenant CRM, reporting); Sustainability Modules (meter reading, waste management); Inspections Package (audits, bespoke templates); Shopping Centre Package (patrols, spillages, late open/early close tracking)",https://vantify.com/the-vantify-ecosystem/vantify-cafm/,,,,,,
vantify-supply,Vantify Supply Chain,Vantify Supply Chain,Vantify,"Comprehensive supply chain management platform providing end-to-end visibility, supplier compliance tracking, and financial health monitoring with real-time insights",Enterprise,"Manufacturing;Construction;Wholesale and retail trade, repair of motor vehicles and motorcycles","3,600+ vetted contractors (UK & worldwide); Red Flag Alert integration for financial monitoring; SSIP compliance supported; Bespoke question sets available","Standard Package (supplier qualification, compliance, performance monitoring); Enterprise Package (bespoke question sets, financial health checks, custom workflows, API integrations)",https://vantify.com/the-vantify-ecosystem/vantify-supply-chain/,,,,,,
vantify-consult,Vantify Consultancy,Vantify Consultancy,Vantify,"Expert consultancy services providing bespoke compliance advice, risk assessments, and training delivered by safety professionals across health & safety, fire, water, asbestos, and environmental disciplines",SME;Enterprise,All Industries,"25,000+ risk assessments annually; 300+ experts with 15+ years avg experience; Supports both large blue-chip organisations and SMEs","Core Services (risk assessments, audits, inspections across H&S, fire, water, asbestos); Training Services (classroom and e-learning delivered by experts); Competent Person Support (ongoing advice and guidance); Bespoke Services (customised to specific organisational needs)",https://vantify.com/the-vantify-ecosystem/vantify-consultancy/,,,,,,
vantify-intel,,Vantify Intelligence,Vantify,"Regulatory intelligence and legal library platform simplifying compliance with easy-to-use resources, expert-backed content, and extensive coverage of UK and international regulations",SME;Enterprise,All Industries,Expert-backed legal library; Daily legislative updates; Comprehensive HSE and British Standards coverage,"Standard Package (UK regulations, legal library access, updates); Premium Package (international regulations, templates, priority support); Enterprise Package (custom content, dedicated account support)",https://vantify.com/the-vantify-ecosystem/vantify-intelligence/,,,,,,
vantify-elearn,,Vantify eLearning,Vantify,Online H&S training platform,SME;Enterprise,All Industries,Accessible 24/7,,https://vantify.com/the-vantify-ecosystem/vantify-elearning/,,,,,,
vantify-maint,EFS,Vantify Facilities Services,Vantify,"Comprehensive facilities services and contractor management solution simplifying operations, controlling costs, and mitigating risk with verified contractor network",Enterprise,Real estate activities;Energy and Utilities,Fabric Maintenance solution; Verified qualifications and insurance; Performance tracking available,"Standard Package (verified contractor access, basic compliance checking); Premium Package (performance monitoring, expanded contractor network); Enterprise Package (fully managed service, dedicated account support, custom workflows)",https://vantify.com/the-vantify-ecosystem/vantify-facilities-services/,,,,,,
vinciworks-astute,LMS,Astute LMS,VinciWorks,"Learning management platform delivering engaging, efficient eLearning with data-driven design, comprehensive reporting, SSO, and seamless automation",SME;Enterprise,All Industries,"2,000+ clients globally; 6 consecutive Feefo Platinum Trusted Service Awards (2019-2024); Multi-language support (30+ languages); ISO/IEC 27001 certified; GDPR and Data Protection Act 2018 aligned","Astute Essentials (simplified eLearning tracking for VinciWorks courses with easy enrolment); Astute Premier (custom course uploads, policies, face-to-face training, quizzes, surveys)",https://vinciworks.com/astute/,,,,,,
vinciworks-courses,Courses,eLearning Course Library,VinciWorks,"Comprehensive eLearning library with 1,000+ fully-customisable courses, AI-powered personalised learning, and bespoke course creation",SME;Enterprise,All Industries,Available in every language; Fully customisable; 20+ years compliance expertise,,https://vinciworks.com/courses/,https://www.youtube.com/watch?v=3MhisZrOLcU&list=PLqXSA6z7LDGJFF5ORLw9Rn-BAV1k9oEJQ&index=7,Customisable Courses,https://www.youtube.com/watch?v=pQ-IAVsKwoY&list=PLqXSA6z7LDGJFF5ORLw9Rn-BAV1k9oEJQ&index=8,Conversational Learning,,
vinciworks-omnitrack,Omnitrack,Omnitrack,VinciWorks,"No-code compliance workflow automation platform that transforms manual processes into efficient, audit-ready systems with regulatory best practise embedded",Enterprise,Financial and insurance activities;Legal;Human health and social work activities,"100% customisable workflows; Best practise templates from ICO, HSE, SRA, FCA, LSAG, GDPR; Audit-ready reporting; Scales from simple forms to enterprise workflows",5 Omnitrack Solutions (Supplier Onboarding/Risk Assessment; GDPR Suite; Gifts & Hospitality Register; AML Client Onboarding; Legal Compliance Suite),https://vinciworks.com/products/omnitrack/,https://youtu.be/3BnOz_sdeYk?si=BXFIRrpM8iUP5HJ6,Omnitrack,,,,
vinciworks-sra,SRA consultancy,SRA Consultancy - Compliance Office,VinciWorks,"SRA compliance support for UK law firms including outsourced COLP services, AML audits, templates, training, and subscription packages",SME;Enterprise,Legal,Founded 2014; 12+ compliance team; Hundreds of law firms served; Part of VinciWorks Group (acquired 2022); Specialist in SRA Standards & Regulations; COLP/COFA expertise,"Bronze (Templates & eLearning library - £100/mo); Silver (Plus compliance helpdesk & annual gap analysis - £495/mo); Gold (Outsourced COLP with dedicated consultant - POA); One-off Services (AML audits, SRA health checks, ABS applications, training)",https://www.complianceoffice.co.uk,,,,,,
barbour-comp,Subscriptions,Regulatory Intelligence,Barbour,"Comprehensive EHS regulatory intelligence platform with legislation, official guidance, standards, and ready-to-use compliance tools all in one place",SME;Enterprise,Manufacturing;Construction;Energy and Utilities,"1,000+ customers; 26+ countries; Trusted by major UK organisations",,https://barbour-ehs.com/comprehensive/,,,,,,
barbour-consolidated,,Consolidated Legislation,Barbour,Consolidated legislation service shows the law as it stands today with all amendments rolled into one document - the only EHS provider that consolidates legislation this way,SME;Enterprise,All Industries,"Only provider consolidating EHS legislation this way; UK, Ireland, and EU coverage; Expert legal helpdesk (real people, not AI); All historic amendments in one document",,https://barbour-ehs.com/consolidated/,,,,,,
barbour-consultancy,Consultancy,Consultancy Services,Barbour,"Expert consultancy services taking the hard work out of creating and maintaining bespoke legal and aspects & impacts registers with rigorous, accurate processes",SME;Enterprise,All Industries,,,https://barbour-ehs.com/consultancy/,,,,,,
corestream-platform,Corestream,CoreStream GRC Platform,CoreStream GRC,"Flexible, intuitive, no-code GRC platform delivering governance, risk, and compliance solutions that scale with your needs",SME;Enterprise,All Industries,"6 weeks average go-live; 100+ countries; 98% client retention; Fastest implementations on market; SOC 2, Cyber Essentials, ISO 27001 certified",,https://corestreamgrc.com/platform/,,,,,,
corestream-im,,Incident Management,CoreStream GRC,Easy to use incident management software.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/risk/incident-management/,https://www.youtube.com/watch?v=99fzv1duQJU&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=6,,,,,
corestream-cm,,Controls Management,CoreStream GRC,"Easy to use, flexible controls management done your way.",SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/compliance/controls-management/,https://www.youtube.com/watch?v=nRcWes336AA&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=8,,,,,
corestream-coim,,Conflict of Interest Management,CoreStream GRC,Managing your staff declarations just got easier.,SME;Enterprise,All Industries; Human health and social work activities; Financial and insurance activities,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/compliance/conflict-of-interest-management/,https://www.youtube.com/watch?v=cgopY4z4lec&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=4,,,,,
corestream-ghm,,Gifts and Hospitality Management,CoreStream GRC,Gifts and entertainment management made simple with user-friendly software.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/compliance/gifts-and-hospitality-management/,https://www.youtube.com/watch?v=Yqgyqkr4Hqg&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=3,,,,,
corestream-pm,,Policy Management,CoreStream GRC,Flexible integrated policy management for your enterprise.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/governance/policy-management/,https://www.youtube.com/watch?v=UXwbTON55vw&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=2,,,,,
corestream-atm,,Action Tracking Management,CoreStream GRC,Intuitive seamless action tracking management.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/governance/action-tracking-management/,https://www.youtube.com/watch?v=Ixb7wQGwCSw&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=1,,,,,
